# Complete SFS list from Riksdagen API
# Fetched: 2025-12-11T20:09:49.063Z
# API reported: 11397, Unique dok_ids: 11397, Unique SFS: 11265
# Format: SFS\tDATE\tDOK_ID\tTITLE
#
	1867-05-08	c0s0riksb	för Riksbankens styrelse oeh förvaltning, utfärdad! den 8 Maj 1867
1982:986	1982-11-11	sfs-1982-986	Förordning (1982:986) om överenskommelse mellan Sverige och Uruguay angående ömsesidig skattebefrielse för luftfartsföretag
1982:987	1982-11-18	sfs-1982-987	Förordning (1982:987) om nedsättning av belgisk källskatt på utdelning, ränta och royalty
1982:990	1982-11-11	sfs-1982-990	Tillkännagivande (1982:990) om en europeisk ramkonvention om samarbete över riksgränser mellan lokala och regionala samhällsorgan
1982:993	1982-11-25	sfs-1982-993	Förordning (1982:993) med provisoriska bestämmelser om undervisning och betygssättning i orienteringsämnen på grundskolans högstadium m. m.
1982:996	1982-11-25	sfs-1982-996	Förordning (1982:996) om tingsrätternas domkretsar
1983:1000	1983-12-15	sfs-1983-1000	Lag (1983:1000) om immunitet och privilegier för konferensen om förtroende- och säkerhetsskapande åtgärder och nedrustning i Europa
1983:1011	1983-12-15	sfs-1983-1011	Förordning (1983:1011) om vissa underrättelser enligt den svensk-norska vattenrättskonventionen av den 11 maj 1929
1983:1015	1983-12-15	sfs-1983-1015	Lag (1983:1015) med anledning av Sveriges tillträde till konventionen den 6 april 1974 om en uppförandekod för linjekonferenser
1983:1018	1983-12-15	sfs-1983-1018	Förordning (1983:1018) om präster för finskspråkiga i Sverige
1983:1021	1983-12-15	sfs-1983-1021	Förordning (1983:1021) om tilläggslån för ombyggnad av bostadshus m.m.
1983:1025	1983-12-15	sfs-1983-1025	Förordning (1983:1025) om statsbidrag för hissinstallationer i bostadshus m.m.
1983:1030	1983-12-15	sfs-1983-1030	Lag (1983:1030) om särskilt vuxenstudiestöd för arbetslösa
1983:1031	1983-12-15	sfs-1983-1031	Förordning (1983:1031) om särskilt vuxenstudiestöd för arbetslösa
1983:1034	1983-12-15	sfs-1983-1034	Lag (1983:1034) om kontroll över tillverkningen av krigsmateriel, m.m.
1983:1036	1983-12-15	sfs-1983-1036	Förordning (1983:1036) om kontroll över tillverkningen av krigsmateriel, m.m.
1983:1041	1983-12-08	sfs-1983-1041	Förordning (1983:1041) om dubbelbeskattningsavtal mellan Sverige, Danmark, Finland, Island och Norge
1983:1046	1983-12-30	sfs-1983-1046	Lag (1983:1046) om skyldighet för vissa bostadsföreningar och bostadsaktiebolag att föra lägenhetsförteckning m.m.
1983:1053	1983-12-20	sfs-1983-1053	Lag (1983:1053) om skatt på omsättning av vissa värdepapper
1983:1055	1983-12-20	sfs-1983-1055	Lag (1983:1055) om nedsättning av socialavgifter och allmän löneavgift i Norrbottens län;
1983:1056	1983-12-20	sfs-1983-1056	Förordning (1983:1056) om nedsättning av socialavgifter och allmän löneavgift i Norrbottens län
1983:1061	1983-12-15	sfs-1983-1061	Lag (1983:1061) med instruktion för riksdagens förvaltningskontor
1983:1070	1983-12-20	sfs-1983-1070	Lag (1983:1070) om arbete i ungdomslag hos offentliga arbetsgivare
1983:1079	1983-12-20	sfs-1983-1079	Förordning (1983:1079) om statsbidrag till verksamheten med ungdomslag, m.m.
1983:1080	1983-12-20	sfs-1983-1080	Lag (1983:1080) om försök med uppdelning av krigsförbandsövningar inom armén
1983:1086	1983-12-22	sfs-1983-1086	Lag (1983:1086) om vinstdelningsskatt
1983:1092	1983-12-22	sfs-1983-1092	Lag (1983:1092) med reglemente för Allmänna pensionsfonden
1983:1097	1983-12-08	sfs-1983-1097	Lag (1983:1097) med vissa bestämmelser om larmanläggningar m.m.
1983:1099	1983-12-08	sfs-1983-1099	Förordning (1983:1099) om anslutning av larmanläggningar till Polismyndigheten
1983:1104	1983-12-22	sfs-1983-1104	Lag (1983:1104) om särskild avgift för elektrisk kraft från kärnkraftverk
1983:1108	1983-12-22	sfs-1983-1108	Förordning (1983:1108) om statligt bidrag till installationer för uppvärmning m. m.
1983:1112	1983-12-22	sfs-1983-1112	Förordning (1983:1112) om statliga energisparbidrag för vissa åtgärder i bostadshus
1983:1114	1983-12-22	sfs-1983-1114	Förordning (1983:1114) om försöksverksamhet med kommunal beslutanderätt i fråga om statligt stöd för vissa förbättringsåtgärder i bostadshus
1983:1120	1983-12-22	sfs-1983-1120	Förordning (1983:1120) med anledning av lagen ( 1983:1000) om immunitet och privilegier för konferensen om förtroende- och säkerhetsskapande åtgärder och nedrustning i Europa
1983:1126	1983-12-22	sfs-1983-1126	Statistiska centralbyråns kungörelse (1983:1126) om procenttal för ändring av vissa underhållsbidrag;
1983:1127	1983-12-15	sfs-1983-1127	Försäkringsinspektionens Kungörelse (1983:1127) om ändring av vissa skadelivräntor
1983:124	1983-03-17	sfs-1983-124	Förordning (1983:124) om Kustbevakningens medverkan vid polisiär övervakning
1983:13	1983-01-13	sfs-1983-13	Förordning (1983:13) om särskild höjning av låneunderlaget för bostadslån i vissa fall
1983:138	1983-03-10	sfs-1983-138	Förordning (1983:138) om minnesmynt på tvåhundra kronor
1983:139	1983-03-17	sfs-1983-139	Förordning (1983:139) om tillämpning av en överenskommelse den 8 juli 1982 mellan Sveriges regering och Ungerns regering om tillhandahållande av sjukvårdsförmåner
1983:140	1983-03-10	sfs-1983-140	Förordning (1983:140) om statsbidrag för omhändertagande av oljeavfall m.m. från fartyg
1983:142	1983-03-17	sfs-1983-142	Förordning (1983:142) med regeringens arbetsgivarnyckel
1983:147	1983-03-24	sfs-1983-147	Lag (1983:147) om förbud under viss tid mot nybyggnad av djurstallar för nötkreatur och svin
1983:162	1983-03-24	sfs-1983-162	Förordning (1983:162) om omedelbar skriftväxling med utländska domstolar i vissa konkurser
1983:163	1983-03-24	sfs-1983-163	Cirkulär (1983:163) om kungörande av konkursbeslut i annat nordiskt land, m.m.
1983:167	1983-03-24	sfs-1983-167	Förordning (1983:167) om användning av automatisk databehandling inom exekutionsväsendet
1983:18	1983-01-13	sfs-1983-18	Förordning (1983:18) om studerandekårer, nationer och studentföreningar vid universitet och högskolor
1983:181	1983-04-14	sfs-1983-181	Tillkännagivande (1983:181) av uppgift om Riksbankens diskonto
1983:182	1983-03-24	sfs-1983-182	Lag (1983:182) om dubbelbeskattningsavtal mellan Sverige och Italien
1983:190	1983-04-14	sfs-1983-190	Förordning (1983:190) om pensionsgrundande konstnärsbidrag m.m.
1983:199	1983-04-21	sfs-1983-199	Förordning (1983:199) om statsbidrag till Göteborgs högre samskola m.fl. för undervisning på grundskolenivå
1983:203	1983-04-07	sfs-1983-203	Lag (1983:203) om dubbelbeskattningsavtal mellan Sverige och Japan
1983:219	1983-04-28	sfs-1983-219	Lag (1983:219) om tillfällig vinstskatt
1983:22	1983-01-13	sfs-1983-22	Förordning (1983:22) om tillämpning av en konvention den 2 juli 1982 mellan Sverige och Nederländerna om social trygghet
1983:238	1983-04-28	sfs-1983-238	Förordning (1983:238) om särskilt statsbidrag till lokal skolutveckling
1983:250	1983-05-05	sfs-1983-250	Frivårdsförordning (1983:250)
1983:257	1983-05-05	sfs-1983-257	Förordning (1983:257) med instruktion för övervakningsnämnderna
1983:260	1983-04-28	sfs-1983-260	Förordning (1983:260) om beräkningen av vissa statliga bruttopensionsförmåner;
1983:261	1983-04-28	sfs-1983-261	Förordning (1983:261) om statlig trafikflygarutbildning
1983:271	1983-05-05	sfs-1983-271	Lag (1983:271) om ändrade återbetalningsvillkor för vissa äldre studielån
1983:276	1983-04-28	sfs-1983-276	Förordning (1983:276) om verksamheten inom försvarsmakten
1983:277	1983-04-28	sfs-1983-277	Förordning (1983:277) om handläggning av ärenden, tjänstetillsättning m.m. inom försvarsmakten
1983:28	1983-01-20	sfs-1983-28	Förordning (1983:28) om undervisning av barn och ungdomar som vistas vid särskilda ungdomshem
1983:291	1983-05-05	sfs-1983-291	Vattenlag (1983:291)
1983:292	1983-05-05	sfs-1983-292	Lag (1983:292) om införande av vattenlagen (1983:291)
1983:293	1983-05-05	sfs-1983-293	Lag (1983:293) om inrättande, utvidgning och avlysning av allmän farled och allmän hamn
1983:294	1983-05-05	sfs-1983-294	Lag (1983:294) om inrättande, utvidgning och avlysning av allmän flottled
1983:30	1983-01-20	sfs-1983-30	Förordning (1983:30) om ersättning till ledamöter av kyrkomötet och dess myndigheter
1983:325	1983-05-11	sfs-1983-325	Förordning (1983:325) om tillämpning av en konvention den 30 juni 1982 mellan Sverige och Israel om social trygghet
1983:341	1983-05-19	sfs-1983-341	Förordning (1983:341) om överklagande av beslut i ärenden om tjänstledighet m.m.
1983:366	1983-05-26	sfs-1983-366	Förordning (1983:366) om att vissa substanser skall anses som narkotika
1983:368	1983-05-19	sfs-1983-368	Lag (1983:368) om erkännande och verkställighet av österrikiska domar på privaträttens område
1983:382	1983-05-26	sfs-1983-382	Förordning (1983:382) om antalet nämndemän i de allmänna domstolarna och de allmänna förvaltningsdomstolarna
1983:40	1983-01-26	sfs-1983-40	Förordning (1983:40) om räntebidrag för underhållslån i vissa fall
1983:407	1983-05-26	sfs-1983-407	Förordning (1983:407) med instruktion för statens pris- och kartellnämnd
1983:408	1983-05-05	sfs-1983-408	Förordning (1983:408) om minnesmynt på etthundra kronor
1983:412	1983-05-26	sfs-1983-412	Förordning (1983:412) om minskning av vissa statsbidrag till riksinternatskolor m.m.
1983:428	1983-05-26	sfs-1983-428	Lag (1983:428) om spridning av bekämpningsmedel över skogsmark
1983:447	1983-06-02	sfs-1983-447	Lag (1983:447) om viss skattefrihet för stipendier enligt 19 § kommunalskattelagen (1928:370);
1983:45	1983-02-26	sfs-1983-45	Tillkännagivande (1983:45) av uppgift om Riksbankens diskonto
1983:46	1983-02-26	sfs-1983-46	Förordning (1983:46) om kurser för invandrarungdom i gymnasieskolan
1983:476	1983-05-05	sfs-1983-476	Förordning (1983:476) om dubbelbeskattningsavtal mellan Sverige och Tunisien
1983:477	1983-05-05	sfs-1983-477	Förordning (1983:477) om kupongskatt för person med hemvist i Tunisien, m.m.
1983:481	1983-05-19	sfs-1983-481	Förordning (1983:481) om vad som avses med försvarsmakten och krigsman;
1983:490	1983-06-02	sfs-1983-490	Förordning (1983:490) om skyldighet för domstol att lämna uppgifter beträffande äktenskapsskillnader m.m.
1983:505	1983-06-02	sfs-1983-505	Förordning (1983:505) om samordnade timplaner och resurser i vissa kommuners gymnasieskolor
1983:526	1983-06-02	sfs-1983-526	Förordning (1983:526) med särskilda bestämmelser om beräkning av låneunderlag för bostadslån till egenregibyggen i vissa fall m.m.
1983:534	1983-04-21	sfs-1983-534	Lag (1983:534) om dubbelbeskattningsavtal mellan Sverige och Bangladesh
1983:535	1983-06-09	sfs-1983-535	Förordning (1983:535) om statsbidrag för viss kollektiv ersättningstrafik på väg
1983:536	1983-06-02	sfs-1983-536	Förordning (1983:536) med instruktion för exportkreditnämnden
1983:55	1983-01-26	sfs-1983-55	Förordning (1983:55) om frisläpp av särskilda investeringsfonder
1983:565	1983-06-09	sfs-1983-565	Lag (1983:565) om politiska sekreterare i kommuner och landstingskommuner
1983:582	1983-06-09	sfs-1983-582	Förordning (1983:582) om statsbidrag till studie- och yrkesorientering i gymnasieskolan budgetåret 1983/84
1983:583	1983-06-09	sfs-1983-583	Förordning (1983:583) om statsbidrag till uppföljningsinsatser för ungdomar under 18 år
1983:584	1983-06-09	sfs-1983-584	Förordning (1983:584) om statsbidrag till utbildning av handledare för skolungdomar under praktik på arbetsplats
1983:585	1983-05-26	sfs-1983-585	Förordning (1983:585) om avgift på landshypoteksinstitutionens grundfond
1983:592	1983-06-09	sfs-1983-592	Förordning (1983:592) med instruktion för statens elektriska inspektion
1983:594	1983-06-09	sfs-1983-594	Förordning (1983:594) om genomförande av fastighetsdatareformen
1983:599	1983-06-09	sfs-1983-599	Förordning (1983:599) om statsbidrag till vissa elevresor
1983:6	1983-01-13	sfs-1983-6	Förordning (1983:6) med tabeller för uträkning av arvsskatt och gåvoskatt
1983:605	1983-06-09	sfs-1983-605	Förordning (1983:605) om rätt för kungl. biblioteket och statens psykologisk-pedagogiska bibliotek att avgiftsbelägga informationstjänster
1983:616	1983-06-09	sfs-1983-616	Hälsoskyddsförordning (1983:616)
1983:646	1983-06-09	sfs-1983-646	Förordning (1983:646) med instruktion för statens energiverk
1983:675	1983-06-16	sfs-1983-675	Förordning (1983:675) om överföring av medel enligt lagen (1983:219) om tillfällig vinstskatt;
1983:682	1983-06-16	sfs-1983-682	Förordning (1983:682) om tillämpning av en internationell konvention om ömsesidigt administrativt bistånd för att förhindra, utreda och beivra tullbrott, m.m.
1983:684	1983-06-30	sfs-1983-684	Cirkulär (1983:684) om statsmyndigheternas anmälningsskyldighet i ärenden enligt 136 a § byggnadslagen (1947:385)
1983:687	1983-06-09	sfs-1983-687	Förordning (1983:687) om återbetalning av lån för anskaffning av studentkårlokaler m.m.
1983:688	1983-10-02	sfs-1983-688	Förordning (1983:688) med instruktion för regeringskansliets förvaltningskontor
1983:693	1983-06-16	sfs-1983-693	Förordning (1983:693) med särskilda bestämmelser om tidsbegränsad stiftsbundenhet för präster
1983:695	1983-06-09	sfs-1983-695	Förordning (1983:695) med instruktion för statens mät- och provråd
1983:701	1983-06-09	sfs-1983-701	Förordning (1983:701) med instruktion för statens industriverk
1983:704	1983-06-22	sfs-1983-704	Förordning (1983:704) om statsbidrag till praktikplatser på fartyg
1983:724	1983-06-30	sfs-1983-724	Förordning (1983:724) om skolverksamhet under krig och vid krigsfara
1983:731	1983-07-14	sfs-1983-731	Förordning (1983:731) om statsbidrag till organisationer för stöd till missbrukare m.m.
1983:733	1983-06-16	sfs-1983-733	Förordning (1983:733) med instruktion för statens råd för byggnadsforskning
1983:737	1983-06-16	sfs-1983-737	Förordning (1983:737) om avgift för administration av vissa statliga lån
1983:738	1983-07-14	sfs-1983-738	Lag (1983:738) om bekämpande av salmonella hos djur
1983:739	1983-07-14	sfs-1983-739	Tillkännagivande (1983:739) av vissa uppgifter om överenskommelser som avses i 4 § lagen (1976:661) om immunitet och privilegier i vissa fall
1983:744	1983-05-26	sfs-1983-744	Förordning (1983:744) om trafiken på Göta kanal
1983:769	1983-08-25	sfs-1983-769	Förordning (1983:769) om dubbelbeskattningsavtal mellan Sverige och Japan
1983:780	1983-09-15	sfs-1983-780	Tillkännagivande (1983:780) av vissa uppgifter om överenskommelser som avses i 4 § lagen (1976:661) om immunitet och privilegier i vissa fall
1983:788	1983-09-29	sfs-1983-788	Vattenrättsförordning (1983:788)
1983:789	1983-09-29	sfs-1983-789	Vattenboksförordning (1983:789)
1983:790	1983-09-29	sfs-1983-790	Förordning (1983:790) om ersättning till vissa förrättningsmän
1983:814	1983-09-29	sfs-1983-814	Förordning (1983:814) om inrättande, utvidgning och avlysning av allmän farled och allmän hamn
1983:816	1983-09-29	sfs-1983-816	Förordning (1983:816) med instruktion för statens maskinprovningar
1983:818	1983-09-22	sfs-1983-818	Förordning (1983:818) om överförande av vissa uppgifter till centrala studiestödsnämnden
1983:826	1983-09-01	sfs-1983-826	Förordning (1983:826) med riktlinjer för färgnyanserna i Sveriges flagga
1983:835	1983-10-13	sfs-1983-835	Förordning (1983:835) om fortsatt försöksverksamhet med rätt för vissa tulltjänstemän att erhålla uppgifter från polisregister
1983:847	1983-10-27	sfs-1983-847	Förordning (1983:847) om avgift vid införsel av aluminiumburkar
1983:850	1983-11-10	sfs-1983-850	Lag (1983:850) om undantag från vissa bestämmelser i uppbördslagen (1953:272) m.m.
1983:857	1983-10-30	sfs-1983-857	Förordning (1983:857) om dubbelbeskattningsavtal mellan Sverige och Italien
1983:858	1983-10-20	sfs-1983-858	Förordning (1983:858) om dubbelbeskattningsavtal mellan Sverige och Bangladesh
1983:864	1983-11-10	sfs-1983-864	Förordning (1983:864) med instruktion för länsstyrelsernas organisationsnämnd
1983:870	1983-11-21	sfs-1983-870	Förordning (1983:870) om förbud mot införsel av krigsmateriel
1983:875	1983-11-17	sfs-1983-875	Förordning (1983:875) om övervakningsnämndernas verksamhetsområden m.m.
1983:880	1983-11-24	sfs-1983-880	Förordning (1983:880) om bemyndigande för statens löne- och pensionsverk att besluta om rätt till familjepensionsförmån i vissa fall
1983:884	1983-11-24	sfs-1983-884	Förordning (1983:884) om tillämpning av lagen (1899:12 s. 9) om verkställighet i visst fall av utländsk domstols beslut
1983:887	1983-11-24	sfs-1983-887	Förordning (1983:887) om avgift på Svenska skeppshypotekskassans garantifond
1983:890	1983-12-01	sfs-1983-890	Lag (1983:890) om allemanssparande
1983:891	1983-12-01	sfs-1983-891	Lag (1983:891) om skattelättnader för allemanssparande
1983:898	1983-11-17	sfs-1983-898	Lag (1983:898) om dubbelbeskattningsavtal mellan Sverige samt Storbritannien och Nordirland
1983:910	1983-11-24	sfs-1983-910	Förordning (1983:910) med instruktion för försvarets forskningsanstalt
1983:912	1983-11-17	sfs-1983-912	Lag (1983:912) om dubbelbeskattningsavtal mellan Sverige och Sri Lanka
1983:913	1983-11-24	sfs-1983-913	Lag (1983:913) om dubbelbeskattningsavtal mellan Sverige, Danmark, Finland, Island och Norge;
1983:914	1983-11-17	sfs-1983-914	Lag (1983:914) om dubbelbeskattningsavtal mellan Sverige och Amerikas Förenta Stater beträffande skatter på kvarlåtenskap, arv och gåva
1983:919	1983-12-08	sfs-1983-919	Förordning (1983:919) om kassakrav för bankinstituten
1983:929	1983-12-09	sfs-1983-929	Mönstringslag (1983:929)
